지점,일시,일누적 자외선 A(MJ/m2),일최대 자외선 B(W/m2 )
132,2019-01-01,.161,.032
132,2019-01-02,.44,.055
132,2019-01-03,.455,.054
132,2019-01-04,.245,.049
132,2019-01-05,.385,.064
132,2019-01-06,.454,.052
132,2019-01-07,.367,.047
132,2019-01-08,.45,.067
132,2019-01-09,.411,.061
132,2019-01-10,.141,.022
132,2019-01-11,.376,.059
132,2019-01-12,.337,.057
132,2019-01-13,.445,.054
132,2019-01-14,.346,.046
132,2019-01-15,.268,.037
132,2019-01-16,.502,.069
132,2019-01-17,.334,.049
132,2019-01-18,.439,.054
132,2019-01-19,.374,.052
132,2019-01-20,.524,.067
132,2019-01-21,.466,.056
132,2019-01-22,.482,.055
132,2019-01-23,.474,.061
132,2019-01-24,.544,.07
132,2019-01-25,.502,.068
132,2019-01-26,.556,.071
132,2019-01-27,.563,.074
132,2019-01-28,.502,.076
132,2019-01-29,.569,.094
132,2019-01-30,.47,.072
132,2019-01-31,.345,.052
132,2019-02-01,.421,.068
132,2019-02-02,.4,.07
132,2019-02-03,.11,.034
132,2019-02-04,.556,.076
132,2019-02-05,.52,.071
132,2019-02-06,.447,.072
132,2019-02-07,.58,.074
132,2019-02-08,.582,.07
132,2019-02-09,.63,.079
132,2019-02-10,.437,.071
132,2019-02-11,.633,.097
132,2019-02-12,.458,.075
132,2019-02-13,.585,.084
132,2019-02-14,.649,.095
132,2019-02-15,.24,.046
132,2019-02-16,.622,.092
132,2019-02-17,.735,.106
132,2019-02-18,.467,.091
132,2019-02-19,.282,.058
132,2019-02-20,.589,.106
132,2019-02-21,.714,.108
132,2019-02-22,.58,.088
132,2019-02-23,.724,.095
132,2019-02-24,.752,.109
132,2019-02-25,.58,.106
132,2019-02-26,.752,.11
132,2019-02-27,.556,.087
132,2019-02-28,.533,.078
132,2019-03-01,.631,.086
132,2019-03-02,.63,.1
132,2019-03-03,.538,.086
132,2019-03-04,.644,.073
132,2019-03-05,.467,.062
132,2019-03-06,.585,.095
132,2019-03-07,.834,.107
132,2019-03-08,.923,.125
132,2019-03-09,.81,.132
132,2019-03-10,.486,.074
132,2019-03-11,.242,.027
132,2019-03-12,-999,-999
132,2019-03-13,.936,.108
132,2019-03-14,.761,.098
132,2019-03-15,.655,.094
132,2019-03-16,.839,.107
132,2019-03-17,.958,.125
132,2019-03-18,.756,.114
132,2019-03-19,.699,.107
132,2019-03-20,.199,.039
132,2019-03-21,.608,.142
132,2019-03-22,1.032,.156
132,2019-03-23,.729,.108
132,2019-03-24,1.076,.155
132,2019-03-25,.786,.1
132,2019-03-26,.973,.138
132,2019-03-27,.71,.097
132,2019-03-28,.84,.117
132,2019-03-29,.998,.148
132,2019-03-30,.704,.112
132,2019-03-31,1.123,.173
132,2019-04-01,.963,.124
132,2019-04-02,1.091,.148
132,2019-04-03,1.113,.149
132,2019-04-04,1.112,.143
132,2019-04-05,.94,.144
132,2019-04-06,.476,.079
132,2019-04-07,.872,.14
132,2019-04-08,1.019,.133
132,2019-04-09,.347,.061
132,2019-04-10,.437,.081
132,2019-04-11,.916,.139
132,2019-04-12,1.182,.174
132,2019-04-13,1.158,.181
132,2019-04-14,.697,.161
132,2019-04-15,1.156,.148
132,2019-04-16,1.043,.145
132,2019-04-17,1.25,.178
132,2019-04-18,.647,.094
132,2019-04-19,1.064,.213
132,2019-04-20,.863,.173
132,2019-04-21,.553,.107
132,2019-04-22,1.261,.224
132,2019-04-23,.529,.103
132,2019-04-24,1.035,.202
132,2019-04-25,.452,.164
132,2019-04-26,.275,.051
132,2019-04-27,1.132,.211
132,2019-04-28,.953,.175
132,2019-04-29,.461,.074
132,2019-04-30,1.232,.218
132,2019-05-01,.797,.166
132,2019-05-02,1.38,.192
132,2019-05-03,1.27,.167
132,2019-05-04,1.089,.152
132,2019-05-05,1.302,.176
132,2019-05-06,1.441,.184
132,2019-05-07,1.392,.189
132,2019-05-08,1.159,.171
132,2019-05-09,1.328,.194
132,2019-05-10,1.277,.203
132,2019-05-11,1.403,.195
132,2019-05-12,1.22,.162
132,2019-05-13,.872,.164
132,2019-05-14,1.403,.185
132,2019-05-15,1.264,.174
132,2019-05-16,1.333,.172
132,2019-05-17,.727,.095
132,2019-05-18,.889,.171
132,2019-05-19,.624,.119
132,2019-05-20,1.464,.222
132,2019-05-21,1.504,.219
132,2019-05-22,1.465,.206
132,2019-05-23,1.484,.197
132,2019-05-24,1.356,.182
132,2019-05-25,1.209,.2
132,2019-05-26,1.387,.22
132,2019-05-27,.332,.047
132,2019-05-28,1.33,.227
132,2019-05-29,1.512,.231
132,2019-05-30,.905,.195
132,2019-05-31,1.547,.227
132,2019-06-01,1.113,.184
132,2019-06-02,1.358,.194
132,2019-06-03,1.43,.2
132,2019-06-04,1.405,.187
132,2019-06-05,.988,.194
132,2019-06-06,.491,.1
132,2019-06-07,.792,.216
132,2019-06-08,1.33,.195
132,2019-06-09,1.23,.166
132,2019-06-10,.627,.099
132,2019-06-11,1.477,.185
132,2019-06-12,1.544,.207
132,2019-06-13,1.501,.2
132,2019-06-14,1.124,.182
132,2019-06-15,1.544,.185
132,2019-06-16,1.514,.231
132,2019-06-17,1.412,.223
132,2019-06-18,.65,.141
132,2019-06-19,1.234,.202
132,2019-06-20,1.136,.194
132,2019-06-21,1.301,.204
132,2019-06-22,1.393,.184
132,2019-06-23,1.567,.193
132,2019-06-24,1.603,.21
132,2019-06-25,1.596,.216
132,2019-06-26,.628,.138
132,2019-06-27,1.118,.219
132,2019-06-28,1.489,.259
132,2019-06-29,.544,.112
132,2019-06-30,.815,.187
132,2019-07-01,1.107,.194
132,2019-07-02,1.16,.158
132,2019-07-03,1.106,.178
132,2019-07-04,1.398,.205
132,2019-07-05,1.518,.198
132,2019-07-06,1.542,.211
132,2019-07-07,1.195,.189
132,2019-07-08,1.464,.194
132,2019-07-09,1.389,.206
132,2019-07-10,.429,.074
132,2019-07-11,.834,.132
132,2019-07-12,1.42,.221
132,2019-07-13,.57,.146
132,2019-07-14,1.204,.195
132,2019-07-15,.713,.168
132,2019-07-16,1.351,.178
132,2019-07-17,.812,.146
132,2019-07-18,1.192,.195
132,2019-07-19,1.087,.194
132,2019-07-20,.966,.309
132,2019-07-21,.833,.177
132,2019-07-22,1.216,.221
132,2019-07-23,1.159,.262
132,2019-07-24,.648,.184
132,2019-07-25,.243,.079
132,2019-07-26,.204,.061
132,2019-07-27,.781,.212
132,2019-07-28,.546,.136
132,2019-07-29,1.434,.263
132,2019-07-30,.944,.23
132,2019-07-31,.416,.094
132,2019-08-01,1.424,.265
132,2019-08-02,1.452,.258
132,2019-08-03,1.391,.224
132,2019-08-04,1.268,.243
132,2019-08-05,1.244,.212
132,2019-08-06,1.334,.235
132,2019-08-07,1.065,.217
132,2019-08-08,1.021,.25
132,2019-08-09,1.435,.25
132,2019-08-10,1.252,.26
